"Date","Price","Open","High","Low","Vol.","Change %"
"04/25/2011","9.5167","9.4718","9.5557","9.4618","","0.49%"
"04/22/2011","9.4705","9.4465","9.4983","9.4426","","0.25%"
"04/21/2011","9.4465","9.4741","9.5512","9.4361","","-0.26%"
"04/20/2011","9.4715","9.3605","9.4935","9.3461","","1.17%"
"04/19/2011","9.3618","9.2850","9.3739","9.2786","","0.75%"
"04/18/2011","9.2922","9.4168","9.4201","9.2429","","-1.40%"
"04/15/2011","9.4246","9.4600","9.4733","9.4009","","-0.37%"
"04/14/2011","9.4600","9.4339","9.4822","9.3812","","0.28%"
"04/13/2011","9.4339","9.4676","9.4881","9.4163","","-0.34%"
"04/12/2011","9.4663","9.4351","9.4974","9.3987","","0.30%"
"04/11/2011","9.4377","9.4470","9.4668","9.4273","","-0.25%"
"04/08/2011","9.4614","9.3557","9.4693","9.3494","","1.14%"
"04/07/2011","9.3551","9.3789","9.3880","9.3176","","-0.24%"
"04/06/2011","9.3776","9.2958","9.3919","9.2962","","0.86%"
"04/05/2011","9.2978","9.2945","9.3201","9.2569","","0.02%"
"04/04/2011","9.2958","9.3154","9.3425","9.2791","","-0.22%"
"04/01/2011","9.3161","9.2776","9.3287","9.2069","","0.44%"
"03/31/2011","9.2757","9.2614","9.3219","9.2535","","0.17%"
"03/30/2011","9.2601","9.2578","9.2757","9.2136","","0.04%"
"03/29/2011","9.2565","9.2425","9.2845","9.2180","","0.14%"
"03/28/2011","9.2432","9.2090","9.2643","9.1918","","0.11%"
"03/25/2011","9.2326","9.2920","9.3107","9.2154","","-0.67%"
"03/24/2011","9.2953","9.2382","9.3301","9.2206","","0.66%"
"03/23/2011","9.2343","9.3005","9.3238","9.2327","","-0.72%"
"03/22/2011","9.3011","9.3326","9.3424","9.2876","","-0.39%"
"03/21/2011","9.3372","9.3154","9.3496","9.2816","","0.27%"
"03/18/2011","9.3121","9.2132","9.3197","9.1891","","1.02%"
"03/17/2011","9.2185","9.1380","9.2412","9.1134","","0.92%"
"03/16/2011","9.1348","9.1980","9.2030","9.1118","","-0.67%"
"03/15/2011","9.1967","9.1882","9.2108","9.1050","","0.06%"
"03/14/2011","9.1909","9.1782","9.2010","9.1332","","0.53%"
"03/11/2011","9.1427","9.0682","9.1490","9.0409","","0.85%"
"03/10/2011","9.0656","9.1189","9.1526","9.0549","","-0.58%"
"03/09/2011","9.1182","9.1340","9.1480","9.0945","","-0.14%"
"03/08/2011","9.1314","9.1559","9.1892","9.1052","","-0.28%"
"03/07/2011","9.1566","9.1905","9.2048","9.1503","","-0.28%"
"03/04/2011","9.1820","9.1774","9.1998","9.1511","","0.05%"
"03/03/2011","9.1774","9.1125","9.1836","9.0906","","0.73%"
"03/02/2011","9.1112","9.0502","9.1299","9.0334","","0.67%"
"03/01/2011","9.0502","9.0697","9.1038","9.0420","","-0.19%"
"02/28/2011","9.0677","9.0451","9.1056","9.0133","","0.30%"
"02/25/2011","9.0405","9.0674","9.1001","9.0198","","-0.33%"
"02/24/2011","9.0700","9.0368","9.0870","9.0153","","0.38%"
"02/23/2011","9.0354","8.9843","9.0651","8.9797","","0.58%"
"02/22/2011","8.9836","8.9806","9.0176","8.8971","","0.06%"
"02/21/2011","8.9786","9.0058","9.0178","8.9616","","-0.27%"
"02/18/2011","9.0032","8.9602","9.0166","8.9035","","0.49%"
"02/17/2011","8.9589","8.9385","8.9708","8.9146","","0.27%"
"02/16/2011","8.9352","8.8864","8.9556","8.8697","","0.54%"
"02/15/2011","8.8871","8.8967","8.9310","8.8697","","-0.15%"
"02/14/2011","8.9007","8.9034","8.9431","8.8580","","-0.32%"
"02/11/2011","8.9291","8.9549","8.9718","8.8967","","-0.31%"
"02/10/2011","8.9568","9.0480","9.0567","8.9427","","-1.02%"
"02/09/2011","9.0493","8.9264","9.0616","8.9217","","1.35%"
"02/08/2011","8.9291","8.9091","8.9731","8.9036","","0.19%"
"02/07/2011","8.9118","8.8906","8.9401","8.8644","","0.06%"
"02/04/2011","8.9063","8.9391","8.9714","8.8819","","-0.35%"
"02/03/2011","8.9378","9.0545","9.0681","8.9255","","-1.25%"
